id,fullname,age,gender,math_grade,literature_grade,attendance,participation,homework,midterm_grade,final_grade
2116,Шаршенов Айжан,20,male,50,88,88,medium,7,96,85
2117,Жумабаев Бегимай,19,male,74,91,58,medium,3,59,79
2118,Токтосунов Нурлан,25,female,71,91,93,medium,3,86,62
2119,Шаршенов Рустам,21,male,77,74,88,high,9,98,59
2120,Сариев Жамиля,19,female,99,54,74,high,2,91,60
2121,Бекмурзаев Эльмира,20,female,74,92,69,high,8,84,55
2122,Усенов Бакыт,24,male,73,75,59,high,8,94,82
2123,Кудайбергенов Рустам,25,female,97,88,74,high,0,50,61
2124,Асанов Бакыт,18,female,83,89,93,high,9,81,82
2125,Токтосунов Рустам,22,male,61,95,96,medium,9,77,90
2126,Жумабаев Азиз,20,female,59,90,75,high,6,92,73
2127,Исмаилов Тимур,18,female,74,84,64,low,0,59,71
2128,Жумабаев Айбек,23,male,94,60,93,low,0,83,50
2129,Токтосунов Жанат,21,female,98,86,84,low,5,74,70
2130,Асанов Марат,24,male,67,78,86,medium,8,91,50
2131,Сариев Айжан,25,female,51,67,100,medium,8,67,84
2132,Асанов Жанат,22,male,75,65,64,medium,9,86,98
2133,Кудайбергенов Жанат,21,male,91,72,86,low,10,67,95
2134,Кудайбергенов Жамиля,22,male,88,56,90,low,9,74,68
2135,Сариев Азиз,21,male,73,95,61,low,1,72,75
2136,Шаршенов Айбек,24,male,52,76,62,high,2,63,75
2137,Жумабаев Жамиля,22,male,91,85,82,medium,10,100,88
2138,Сариев Гулнара,23,female,77,90,72,low,6,99,71
2139,Шаршенов Марат,22,female,66,74,72,high,9,82,55
2140,Асанов Жанара,23,female,62,68,87,high,1,68,68
2141,Сариев Эльмира,22,male,84,64,94,medium,0,70,59
2142,Исмаилов Гулнара,19,female,86,67,95,low,5,63,91
2143,Бекмурзаев Канат,22,female,83,56,51,low,7,58,98
2144,Асанов Нурлан,18,male,80,65,73,medium,0,56,88
2145,Жумабаев Канат,19,female,81,100,85,low,9,95,50
2146,Бекмурзаев Асель,24,male,82,53,59,medium,5,78,85
2147,Шаршенов Жамиля,21,female,99,79,96,high,9,92,68
2148,Бекмурзаев Жамиля,21,female,52,85,65,high,9,92,66
2149,Асанов Айгуль,18,female,59,92,72,medium,9,61,71
2150,Сариев Жанат,18,female,74,73,97,high,3,63,56
2151,Бекмурзаев Азиз,23,female,57,82,65,low,7,61,57
2152,Исмаилов Бакыт,18,female,51,70,59,high,5,69,50
2153,Кубатбеков Бегимай,21,female,67,60,66,high,7,60,96
2154,Шаршенов Айжан,24,female,91,78,83,high,1,53,75
2155,Токтосунов Бакыт,18,male,75,50,67,high,9,87,55
2156,Исмаилов Марат,24,male,94,91,61,medium,1,92,94
2157,Кудайбергенов Айгуль,22,male,58,74,60,medium,6,59,63
2158,Токтосунов Асель,19,male,84,75,57,medium,2,76,65
2159,Сариев Нурлан,25,female,89,83,76,high,4,94,55
2160,Токтосунов Бегимай,21,female,53,56,51,medium,9,80,91
2161,Исмаилов Марат,25,male,72,71,88,low,3,71,73
2162,Усенов Бегимай,25,female,59,74,85,low,3,76,78
2163,Кубатбеков Марат,23,male,79,62,76,high,2,98,53
2164,Бекмурзаев Эрмек,23,male,83,79,68,high,7,65,82
2165,Асанов Бегимай,21,male,60,55,99,medium,6,75,52
2166,Сариев Канат,22,female,68,74,65,low,6,53,95
2167,Асанов Айжан,18,female,56,97,50,medium,9,59,71
2168,Исмаилов Жанара,18,male,68,57,56,high,9,93,83
2169,Кубатбеков Марат,24,male,84,69,74,high,10,96,94
2170,Бекмурзаев Нурлан,24,female,80,72,89,low,9,88,71
2171,Асанов Нурлан,24,female,89,71,90,low,2,81,69
2172,Усенов Бакыт,23,male,64,96,100,low,5,76,91
2173,Асанов Кундуз,18,male,58,93,98,high,3,80,57
2174,Токтосунов Азиз,22,male,65,82,94,medium,0,61,95
2175,Шаршенов Эльмира,20,female,91,58,78,high,4,86,63
2176,Асанов Айжан,22,male,50,61,84,high,10,50,74
2177,Бекмурзаев Айжан,22,female,76,94,64,high,2,79,80
2178,Токтосунов Айбек,18,female,87,77,80,medium,9,51,52
2179,Кубатбеков Марат,22,male,84,54,53,low,6,51,54
2180,Сариев Тимур,18,male,54,70,62,medium,0,87,54
2181,Асанов Жамиля,23,female,68,75,63,low,4,63,72
2182,Кубатбеков Азиз,20,male,94,77,57,medium,6,88,92
2183,Асанов Бакыт,23,male,51,85,66,medium,0,87,64
2184,Исмаилов Марат,20,female,64,80,88,high,7,55,73
2185,Усенов Кундуз,25,female,92,83,66,low,1,93,58
2186,Кудайбергенов Эрмек,25,male,68,74,91,low,6,85,59
2187,Бекмурзаев Эрмек,24,female,100,65,56,high,6,75,63
2188,Токтосунов Гулнара,18,male,63,97,67,medium,4,65,86
2189,Жумабаев Эльмира,20,male,83,77,60,low,4,87,100
2190,Исмаилов Асель,23,female,100,97,96,high,8,99,87
2191,Шаршенов Айбек,18,female,73,89,69,low,10,74,97
2192,Асанов Айжан,25,female,97,54,58,medium,2,71,70
2193,Усенов Эрмек,19,female,67,78,76,medium,3,71,53
2194,Токтосунов Эрмек,18,male,70,92,86,high,2,56,86
2195,Исмаилов Асель,18,female,55,100,71,low,2,91,54
2196,Исмаилов Жамиля,25,female,54,95,55,low,4,55,94
2197,Усенов Жанат,23,male,54,65,51,low,2,75,79
2198,Кудайбергенов Жанат,18,male,50,87,63,medium,7,72,78
2199,Сариев Нурлан,24,female,93,78,66,low,1,90,68
2200,Асанов Жанара,21,female,67,59,99,high,0,80,99
2201,Токтосунов Бегимай,25,male,85,61,83,low,9,64,96
2202,Исмаилов Эльмира,19,female,89,56,53,high,1,93,58
2203,Шаршенов Бегимай,25,male,100,51,74,high,9,62,84
2204,Токтосунов Айгуль,24,male,80,89,79,high,3,57,79
2205,Шаршенов Марат,22,male,56,58,72,low,5,90,87
2206,Асанов Айбек,23,female,83,93,69,medium,9,71,74
2207,Шаршенов Айгуль,18,male,57,100,67,low,6,76,96
2208,Сариев Назгуль,23,male,91,60,62,medium,7,92,77
2209,Усенов Айбек,18,female,90,73,90,high,8,53,88
2210,Жумабаев Бакыт,18,male,84,78,80,high,7,51,76
2211,Усенов Бакыт,19,female,59,66,55,medium,5,85,60
2212,Бекмурзаев Жанат,20,male,61,58,77,low,9,83,75
2213,Шаршенов Жанара,18,male,81,69,90,high,7,92,55
2214,Кудайбергенов Айжан,20,female,56,81,50,medium,9,56,72
2215,Жумабаев Кундуз,19,male,52,95,92,low,3,87,52
2216,Асанов Азиз,20,female,61,84,64,high,7,75,87
2217,Бекмурзаев Нурлан,22,female,66,71,74,medium,5,78,62
2218,Шаршенов Кундуз,18,male,57,70,82,low,3,92,58
2219,Шаршенов Асель,18,male,70,76,61,medium,5,84,87
2220,Кудайбергенов Эрмек,21,male,88,75,70,medium,7,72,81
2221,Жумабаев Бакыт,24,male,51,90,76,low,8,89,100
2222,Токтосунов Тимур,25,male,56,85,71,low,4,60,76
2223,Кудайбергенов Кундуз,22,female,83,55,95,low,8,72,99
2224,Сариев Эрмек,24,male,100,85,72,low,9,82,56
2225,Жумабаев Эльмира,25,female,78,92,68,high,3,96,71
2226,Токтосунов Эльмира,18,female,89,72,83,high,8,76,71
2227,Кудайбергенов Бакыт,23,female,100,84,74,high,0,80,84
2228,Токтосунов Асель,21,female,74,82,67,medium,5,62,73
2229,Сариев Марат,21,male,85,86,93,low,6,64,52
2230,Шаршенов Айгуль,20,female,75,97,73,high,2,100,83
2231,Бекмурзаев Рустам,20,male,90,56,84,medium,7,91,67
2232,Усенов Азиз,23,female,74,94,71,medium,8,94,65
2233,Усенов Айжан,19,female,75,67,76,low,10,61,69
2234,Исмаилов Гулнара,25,female,76,97,75,medium,6,81,54
2235,Усенов Бакыт,22,male,83,87,89,medium,10,87,60
2236,Асанов Айбек,22,female,66,80,63,medium,10,65,90
2237,Усенов Айжан,18,male,60,67,80,high,9,95,57
2238,Токтосунов Жамиля,24,female,52,98,53,low,0,60,83
2239,Исмаилов Айбек,23,female,69,87,81,low,9,50,94
2240,Кубатбеков Кундуз,21,female,72,98,54,medium,1,74,88
2241,Кубатбеков Бегимай,23,female,91,59,68,medium,0,78,72
2242,Токтосунов Азиз,20,male,63,76,90,low,9,71,90
2243,Сариев Айбек,25,female,50,53,65,low,2,80,71
2244,Асанов Эрмек,24,male,65,87,56,medium,7,63,78
2245,Жумабаев Марат,21,female,74,64,56,medium,9,56,71
2246,Сариев Жамиля,23,male,66,51,72,low,2,76,68
2247,Усенов Айбек,24,male,77,79,85,high,1,93,65
2248,Кудайбергенов Тимур,21,male,75,82,99,medium,8,50,54
2249,Кубатбеков Айбек,23,female,99,50,68,high,0,75,50
2250,Токтосунов Жанара,23,male,87,51,89,medium,8,76,85
2251,Шаршенов Жанара,22,male,64,85,55,medium,4,70,51
2252,Исмаилов Асель,22,female,57,98,65,medium,9,61,89
2253,Кубатбеков Тимур,21,female,93,62,75,high,0,86,92
2254,Исмаилов Жанат,20,female,94,54,50,low,8,83,74
2255,Кубатбеков Гулнара,22,female,89,79,63,medium,8,79,86
2256,Кубатбеков Назгуль,24,female,73,81,70,high,10,70,64
2257,Жумабаев Жанат,22,female,65,94,76,high,5,59,80
2258,Токтосунов Бакыт,23,female,76,51,56,medium,1,54,75
2259,Исмаилов Нурлан,21,female,73,64,54,high,5,72,83
2260,Жумабаев Жанат,23,male,53,53,84,medium,10,89,96
2261,Шаршенов Асель,20,male,88,85,95,high,2,71,100
2262,Жумабаев Бегимай,18,male,77,54,98,high,8,58,83
2263,Шаршенов Жанат,21,male,85,99,52,high,4,65,55
2264,Токтосунов Канат,24,male,55,100,85,high,2,84,68
2265,Шаршенов Азиз,20,female,51,83,68,medium,2,53,72
2266,Сариев Айжан,19,male,53,94,91,high,2,58,94
2267,Шаршенов Азиз,25,female,54,86,68,low,2,57,67
2268,Кубатбеков Эльмира,21,female,88,60,98,high,7,98,65
2269,Жумабаев Жамиля,25,male,75,57,51,medium,1,63,99
2270,Сариев Жамиля,21,male,68,57,75,medium,10,94,69
2271,Кубатбеков Назгуль,19,male,91,84,79,low,5,71,56
2272,Асанов Тимур,25,male,50,99,87,high,8,60,61
2273,Асанов Айжан,18,female,63,83,61,medium,9,83,65
2274,Сариев Гулнара,25,male,57,58,52,low,6,58,76
2275,Токтосунов Азиз,19,male,75,71,50,high,2,51,66
2276,Сариев Айжан,22,male,66,75,85,medium,2,74,78
2277,Исмаилов Жанат,23,male,84,95,50,high,5,59,73
2278,Жумабаев Айжан,20,female,95,97,57,high,1,87,72
2279,Шаршенов Канат,22,male,69,63,53,low,1,95,95
2280,Усенов Жанат,24,male,66,81,93,low,1,77,65
2281,Кубатбеков Айжан,21,female,65,56,93,high,0,52,91
2282,Исмаилов Эльмира,22,female,82,92,94,medium,9,80,98
2283,Исмаилов Асель,24,female,67,53,97,medium,1,50,88
2284,Исмаилов Азиз,21,male,92,78,78,medium,8,80,70
2285,Токтосунов Айбек,18,male,74,88,77,low,4,98,92
2286,Асанов Назгуль,24,female,94,60,56,high,10,97,94
2287,Асанов Нурлан,22,female,62,96,79,high,3,77,71
2288,Асанов Айжан,19,male,68,88,90,low,3,76,85
2289,Сариев Асель,22,female,85,67,89,medium,10,54,65
2290,Исмаилов Рустам,19,female,53,63,76,low,9,65,53
2291,Токтосунов Асель,21,male,53,74,66,high,2,80,64
2292,Сариев Жанара,25,male,63,90,95,medium,4,80,71
2293,Усенов Тимур,19,female,79,99,72,medium,6,64,74
2294,Жумабаев Жанат,25,female,85,68,70,high,5,96,84
2295,Жумабаев Нурлан,23,male,93,73,93,high,8,58,62
2296,Сариев Бакыт,20,female,68,84,70,high,5,53,57
2297,Исмаилов Айжан,18,male,69,93,97,medium,0,73,84
2298,Токтосунов Тимур,19,female,86,70,51,low,3,72,61
2299,Кубатбеков Айбек,22,female,76,81,77,low,6,57,91
2300,Сариев Канат,22,female,85,97,65,high,7,90,84
2301,Усенов Асель,22,male,91,91,50,medium,0,59,56
2302,Асанов Гулнара,23,male,91,56,80,medium,0,67,100
2303,Усенов Марат,22,female,70,93,71,high,0,64,96
2304,Бекмурзаев Эрмек,21,male,53,82,58,low,4,94,84
2305,Усенов Жамиля,20,male,93,57,57,low,1,55,99
2306,Токтосунов Канат,21,female,81,88,53,low,1,90,68
2307,Шаршенов Жанат,25,male,70,66,89,high,0,65,62
2308,Исмаилов Эрмек,22,male,90,57,78,high,4,68,67
2309,Шаршенов Эльмира,20,male,91,60,78,medium,7,55,93
2310,Исмаилов Эрмек,19,female,71,88,53,high,0,58,79
2311,Токтосунов Айжан,24,male,95,52,74,medium,2,90,75
2312,Кудайбергенов Азиз,20,female,80,60,90,high,5,90,65
2313,Жумабаев Айбек,19,female,100,70,77,medium,4,66,93
2314,Исмаилов Айжан,24,male,91,55,71,low,4,92,73
2315,Исмаилов Жанара,22,male,70,99,83,high,3,55,80
2316,Бекмурзаев Эльмира,18,female,54,97,62,high,4,50,84
2317,Бекмурзаев Рустам,25,female,65,74,97,high,0,87,63
2318,Бекмурзаев Марат,24,male,61,97,64,high,10,75,74
2319,Усенов Жанат,19,male,63,99,83,high,3,83,86
2320,Кубатбеков Рустам,21,male,69,71,50,high,7,66,60
2321,Жумабаев Бегимай,22,female,100,96,77,high,6,73,86
2322,Жумабаев Нурлан,20,male,62,96,77,medium,7,88,99
2323,Шаршенов Рустам,20,male,68,67,67,medium,5,93,75
2324,Кудайбергенов Айжан,20,male,80,54,92,medium,4,52,96
2325,Шаршенов Жамиля,20,male,92,52,59,low,5,83,88
2326,Бекмурзаев Жанат,25,female,56,78,83,high,7,81,63
2327,Бекмурзаев Жамиля,22,female,80,54,91,high,5,85,94
2328,Бекмурзаев Асель,18,female,51,59,58,high,1,73,56
2329,Кудайбергенов Асель,23,female,87,72,96,low,3,72,70
2330,Кубатбеков Гулнара,22,male,86,93,84,medium,8,99,97
2331,Исмаилов Айбек,19,male,54,84,58,low,2,92,80
2332,Асанов Асель,19,male,83,80,83,medium,3,91,71
2333,Бекмурзаев Гулнара,22,female,51,75,65,high,4,78,91
2334,Сариев Бакыт,22,female,85,75,80,medium,3,52,50
2335,Асанов Канат,25,female,79,60,58,medium,4,78,79
2336,Кудайбергенов Айгуль,21,female,96,94,83,high,2,97,77
2337,Исмаилов Жамиля,23,female,67,96,52,medium,8,51,96
2338,Бекмурзаев Бакыт,22,female,68,51,83,high,9,66,99
2339,Исмаилов Эрмек,25,female,66,92,95,medium,7,54,57
2340,Усенов Нурлан,22,male,71,83,88,low,6,60,75
2341,Кубатбеков Бакыт,23,male,92,72,65,low,6,96,97
2342,Асанов Бегимай,19,male,87,54,55,high,9,96,96
2343,Кубатбеков Назгуль,25,male,53,65,81,low,10,84,73
2344,Усенов Айгуль,19,female,81,60,86,high,0,62,92
2345,Кубатбеков Тимур,21,female,95,69,79,high,2,100,88
2346,Сариев Рустам,18,male,52,86,92,medium,3,50,97
2347,Исмаилов Эльмира,23,male,74,57,52,low,8,54,96
2348,Шаршенов Бакыт,25,female,76,91,85,low,7,62,69
2349,Токтосунов Нурлан,18,female,60,60,81,medium,1,98,90
2350,Жумабаев Канат,19,male,52,86,93,medium,6,66,67
2351,Кудайбергенов Жанара,21,female,84,64,54,low,8,81,97
2352,Асанов Назгуль,24,male,61,88,58,medium,3,83,93
2353,Сариев Айжан,22,male,64,64,71,medium,9,53,97
2354,Шаршенов Нурлан,23,female,52,98,96,high,7,92,87
2355,Бекмурзаев Азиз,21,male,61,55,83,high,4,53,96
2356,Кубатбеков Жанара,22,female,53,72,89,high,0,91,74
2357,Бекмурзаев Айбек,22,female,55,85,81,high,10,90,50
2358,Исмаилов Кундуз,18,male,76,66,62,low,8,81,94
2359,Кубатбеков Тимур,18,male,71,58,96,medium,2,64,63
2360,Усенов Назгуль,24,male,52,59,83,high,1,63,89
2361,Кубатбеков Эльмира,24,male,76,56,98,medium,4,75,92
2362,Токтосунов Бакыт,20,male,61,84,50,medium,3,75,85
2363,Жумабаев Бегимай,24,male,70,88,72,medium,4,77,92
2364,Усенов Марат,22,male,67,99,73,low,0,76,66
2365,Шаршенов Асель,19,female,95,86,54,low,8,100,66
2366,Кудайбергенов Айгуль,22,male,81,96,90,low,3,85,80
2367,Жумабаев Жанат,20,male,53,82,64,medium,9,96,61
2368,Усенов Эрмек,24,male,50,93,95,high,8,88,65
2369,Жумабаев Бегимай,23,male,91,99,64,low,2,51,53
2370,Кудайбергенов Жанат,19,female,80,82,91,high,4,62,89
2371,Асанов Гулнара,22,male,96,61,84,high,7,83,88
2372,Жумабаев Айгуль,20,female,66,79,60,low,7,95,94
2373,Исмаилов Назгуль,24,male,91,82,97,low,9,80,96
2374,Кубатбеков Нурлан,21,female,79,65,66,medium,5,78,60
2375,Токтосунов Айбек,20,male,84,95,52,medium,6,97,66
2376,Асанов Кундуз,20,female,68,78,93,medium,2,53,100
2377,Бекмурзаев Бегимай,23,female,64,71,70,low,6,59,60
2378,Сариев Жамиля,21,male,52,68,72,high,2,69,53
2379,Токтосунов Тимур,22,female,76,67,73,low,2,62,76
2380,Сариев Асель,24,male,80,57,92,medium,7,68,70
2381,Кубатбеков Тимур,22,male,57,87,64,medium,6,65,87
2382,Сариев Азиз,22,male,84,95,52,low,1,74,64
2383,Усенов Тимур,21,female,89,83,50,low,3,62,73
2384,Асанов Тимур,18,female,50,73,53,low,9,67,91
2385,Бекмурзаев Тимур,19,female,62,74,71,low,2,65,71
2386,Сариев Айжан,21,male,54,74,68,high,2,70,98
2387,Сариев Нурлан,25,female,89,99,63,high,10,80,95
2388,Бекмурзаев Кундуз,25,female,60,75,63,low,0,72,97
2389,Токтосунов Кундуз,24,female,59,81,61,high,8,73,90
2390,Асанов Жанат,18,male,65,90,95,high,5,96,100
2391,Исмаилов Эльмира,24,female,99,73,72,high,0,73,71
2392,Асанов Тимур,18,female,95,58,87,high,5,86,82
2393,Бекмурзаев Кундуз,24,male,68,83,75,low,9,91,59
2394,Бекмурзаев Канат,23,female,77,97,59,medium,3,72,54
2395,Шаршенов Айбек,22,male,97,98,78,high,9,58,88
2396,Шаршенов Жанара,24,female,64,63,91,high,10,71,56
2397,Шаршенов Нурлан,25,male,77,78,99,high,9,82,96
2398,Жумабаев Жанат,19,female,80,75,53,high,4,78,89
2399,Шаршенов Рустам,19,female,60,72,83,high,7,74,76
2400,Сариев Тимур,19,female,81,74,87,high,10,65,61
2401,Бекмурзаев Жанара,24,male,91,58,96,high,2,83,57
2402,Кудайбергенов Айжан,24,male,93,51,90,medium,3,98,85
2403,Шаршенов Жамиля,23,male,83,87,52,low,5,66,54
2404,Асанов Азиз,19,female,78,52,50,medium,8,68,54
2405,Кудайбергенов Назгуль,24,female,55,78,51,low,6,66,99
2406,Шаршенов Гулнара,22,female,52,76,71,medium,1,91,67
2407,Шаршенов Эльмира,21,male,97,80,89,low,10,51,84
2408,Исмаилов Тимур,25,male,67,75,99,low,1,100,53
2409,Кубатбеков Бегимай,25,female,60,58,94,low,10,53,73
2410,Асанов Рустам,24,male,59,52,56,low,5,90,84
2411,Кудайбергенов Жанат,22,male,66,50,84,medium,9,99,50
2412,Кубатбеков Марат,21,male,99,50,74,medium,4,84,73
2413,Кудайбергенов Жанара,22,male,54,78,65,high,7,63,79
2414,Кубатбеков Азиз,20,female,57,64,87,medium,6,94,98
2415,Бекмурзаев Азиз,25,male,92,83,62,medium,3,95,74
2416,Исмаилов Жанара,21,male,74,90,72,low,10,82,91
2417,Бекмурзаев Жанат,18,female,59,77,98,high,0,85,98
2418,Шаршенов Айгуль,25,female,58,55,63,high,7,58,99
2419,Шаршенов Марат,22,male,72,64,80,low,5,70,52
2420,Асанов Бегимай,18,female,91,98,74,low,7,97,63
2421,Токтосунов Кундуз,25,male,72,85,54,medium,9,59,60
2422,Кудайбергенов Бакыт,18,male,73,66,98,low,10,56,68
2423,Асанов Назгуль,19,female,80,74,51,medium,10,51,65
2424,Шаршенов Жанат,21,female,60,55,98,low,1,97,63
2425,Усенов Жамиля,19,female,67,86,97,medium,10,69,71
2426,Сариев Азиз,18,female,55,60,56,medium,10,70,81
2427,Шаршенов Бакыт,25,male,82,64,91,low,0,76,77
2428,Асанов Айбек,18,male,88,100,99,low,5,63,87
2429,Исмаилов Жанат,19,female,59,68,75,low,3,51,67
2430,Асанов Бакыт,18,female,93,92,84,low,6,53,52
2431,Жумабаев Жамиля,22,female,59,52,54,low,2,58,71
2432,Сариев Тимур,20,female,77,93,53,medium,4,72,86
2433,Асанов Кундуз,19,male,81,61,59,low,0,76,99
2434,Жумабаев Марат,21,male,86,98,86,low,6,80,68
2435,Токтосунов Жанат,23,female,81,88,84,medium,2,76,88
2436,Усенов Назгуль,25,female,53,53,60,low,3,94,86
2437,Асанов Кундуз,21,female,85,69,57,low,3,58,80
2438,Асанов Назгуль,19,male,87,97,97,low,1,71,79
2439,Шаршенов Канат,23,female,64,85,53,medium,4,97,65
2440,Исмаилов Гулнара,25,male,79,65,75,low,2,53,83
2441,Шаршенов Айгуль,21,female,57,60,61,high,4,63,90
2442,Асанов Жанат,24,male,77,51,73,medium,10,97,97
2443,Токтосунов Эрмек,22,female,50,93,95,high,1,87,53
2444,Шаршенов Асель,25,female,89,55,67,low,2,55,64
2445,Жумабаев Канат,20,male,66,59,94,high,2,99,72
2446,Кудайбергенов Айбек,20,female,88,78,55,high,6,72,77
2447,Кубатбеков Азиз,25,female,86,64,91,medium,0,97,98
2448,Исмаилов Эрмек,25,female,72,88,53,medium,6,69,71
2449,Бекмурзаев Тимур,21,female,64,75,92,high,8,65,72
2450,Асанов Марат,19,female,56,84,94,high,1,75,75
2451,Сариев Айгуль,24,female,68,75,56,low,0,91,86
2452,Бекмурзаев Жанат,22,male,87,89,51,low,5,89,71
2453,Бекмурзаев Жанат,22,male,94,74,56,medium,5,67,76
2454,Токтосунов Бегимай,21,male,52,60,96,medium,3,86,87
2455,Жумабаев Канат,23,female,51,100,53,medium,10,84,98
2456,Сариев Гулнара,23,female,98,70,62,medium,5,94,61
2457,Кубатбеков Нурлан,21,male,69,86,55,low,10,64,85
2458,Кудайбергенов Жанат,20,male,56,82,86,low,1,64,70
2459,Жумабаев Айгуль,18,female,59,89,57,low,10,95,88
2460,Исмаилов Азиз,19,male,61,74,67,high,8,89,100
2461,Асанов Эльмира,20,male,52,62,80,low,10,98,77
2462,Усенов Гулнара,18,male,89,85,89,medium,2,80,91
2463,Жумабаев Нурлан,19,male,81,85,96,low,0,61,80
2464,Исмаилов Айбек,18,male,61,62,64,low,1,95,88
2465,Исмаилов Рустам,25,female,55,56,97,low,4,89,54
2466,Исмаилов Канат,25,female,55,75,73,medium,6,62,54
2467,Токтосунов Азиз,21,male,70,98,74,low,1,52,91
2468,Усенов Рустам,24,female,63,71,66,low,3,89,100
2469,Сариев Эльмира,19,male,82,85,76,high,2,87,75
2470,Исмаилов Айжан,25,female,51,59,98,low,7,98,77
2471,Асанов Канат,23,female,79,50,72,high,7,78,79
2472,Жумабаев Жамиля,21,male,52,81,62,high,8,76,77
2473,Жумабаев Кундуз,24,female,94,76,78,low,1,90,65
2474,Усенов Жанара,25,male,82,66,51,low,8,98,61
2475,Бекмурзаев Нурлан,22,male,66,59,92,low,0,84,54
2476,Асанов Бакыт,19,female,94,69,66,high,1,90,64
2477,Кудайбергенов Жанара,21,female,65,74,89,low,2,83,88
2478,Токтосунов Эльмира,23,female,73,91,53,high,1,77,93
2479,Токтосунов Жанат,20,female,72,80,63,low,9,65,75
2480,Асанов Айгуль,18,female,90,86,61,low,5,90,79
2481,Кудайбергенов Айжан,21,male,89,98,73,high,0,74,97
2482,Сариев Асель,20,male,57,73,71,medium,2,82,72
2483,Асанов Айгуль,18,female,74,82,74,low,10,69,73
2484,Усенов Жамиля,25,male,57,52,51,medium,3,90,73
2485,Кудайбергенов Назгуль,24,male,78,92,92,medium,4,60,83
2486,Токтосунов Айбек,20,female,87,74,61,high,10,61,100
2487,Сариев Эрмек,25,male,85,89,78,low,10,68,64
2488,Жумабаев Нурлан,20,female,65,81,98,high,2,88,64
2489,Бекмурзаев Айгуль,20,female,54,81,84,medium,7,71,60
2490,Шаршенов Жанара,21,male,94,75,61,low,6,63,80
2491,Усенов Жанара,22,female,53,78,84,medium,5,96,58
2492,Асанов Асель,24,male,58,100,74,high,9,86,97
2493,Кубатбеков Назгуль,21,female,53,74,56,high,2,52,65
2494,Бекмурзаев Айжан,19,female,70,89,94,high,6,100,93
2495,Кудайбергенов Жанара,20,female,76,56,92,high,9,80,83
2496,Кубатбеков Тимур,25,male,52,95,85,low,9,84,59
2497,Кубатбеков Канат,22,female,88,50,65,medium,7,70,52
2498,Исмаилов Марат,20,female,77,78,54,medium,3,72,88
2499,Асанов Бакыт,25,male,64,85,58,low,10,52,65
2500,Кудайбергенов Кундуз,20,male,88,51,88,low,7,56,73
2501,Усенов Жамиля,25,male,82,53,94,high,9,63,84
2502,Жумабаев Азиз,21,male,77,78,91,low,2,54,74
2503,Усенов Бакыт,22,male,57,80,83,high,3,73,96
2504,Сариев Жамиля,18,female,77,75,93,medium,10,69,95
2505,Исмаилов Назгуль,24,female,98,92,52,medium,7,74,87
2506,Кудайбергенов Эльмира,25,male,95,65,62,low,6,65,70
2507,Кубатбеков Марат,25,female,65,52,75,low,8,74,67
2508,Шаршенов Канат,19,female,98,99,77,low,7,54,67
2509,Усенов Айбек,22,female,60,68,69,high,6,81,93
2510,Токтосунов Марат,23,female,65,68,95,medium,4,66,100
2511,Кудайбергенов Канат,20,female,100,94,93,high,9,71,81
2512,Исмаилов Тимур,22,male,72,92,68,medium,0,55,50
2513,Исмаилов Кундуз,18,female,96,83,87,high,6,92,98
2514,Усенов Жанара,20,female,50,95,58,low,10,97,80
2515,Бекмурзаев Гулнара,25,male,84,63,58,medium,7,50,51
2516,Сариев Бакыт,21,female,51,73,73,medium,2,84,77
2517,Сариев Бегимай,20,female,67,93,60,low,10,93,59
2518,Усенов Нурлан,21,female,64,51,79,medium,8,70,83
2519,Шаршенов Айбек,19,male,70,77,61,low,3,87,55
2520,Шаршенов Гулнара,22,male,63,81,98,low,5,71,77
2521,Асанов Гулнара,21,female,64,72,93,medium,6,63,87
2522,Исмаилов Марат,20,female,70,67,70,medium,6,73,100
2523,Сариев Айжан,24,male,62,82,73,low,2,65,92
2524,Бекмурзаев Нурлан,21,male,53,87,91,high,5,89,55
2525,Бекмурзаев Рустам,21,male,56,51,88,medium,8,88,71
2526,Бекмурзаев Эрмек,21,male,99,60,86,medium,8,57,77
2527,Кубатбеков Жамиля,25,male,85,99,54,medium,8,70,75
2528,Бекмурзаев Айжан,24,female,85,56,66,low,4,77,65
2529,Шаршенов Бакыт,25,male,74,99,100,medium,10,95,98
2530,Шаршенов Айжан,23,male,56,64,64,medium,6,93,80
2531,Исмаилов Жанара,20,female,63,59,95,high,4,54,88
2532,Жумабаев Жанара,23,male,73,68,85,high,9,83,86
2533,Кудайбергенов Кундуз,25,male,97,54,75,medium,4,80,65
2534,Асанов Назгуль,22,male,66,66,81,low,10,79,53
2535,Шаршенов Назгуль,22,male,89,56,85,high,8,95,73
2536,Исмаилов Бегимай,22,female,84,79,56,low,7,87,75
2537,Жумабаев Айжан,22,female,52,91,98,low,8,80,85
2538,Исмаилов Бакыт,21,male,78,96,62,medium,8,85,65
2539,Шаршенов Бегимай,25,male,91,68,79,low,7,57,56
2540,Асанов Бегимай,21,female,58,82,77,medium,0,72,97
2541,Сариев Бегимай,24,female,78,64,99,high,0,75,65
2542,Кудайбергенов Асель,20,female,69,97,57,high,10,86,57
2543,Жумабаев Азиз,24,female,79,98,86,low,10,64,77
2544,Токтосунов Эльмира,24,female,77,66,97,low,5,64,69
